user_id,date,treatment,y,cost,log_propensity,age,gender,region,past_purchases,ses_score,propensity_score
1,2023-04-13,0,932.6450560704504,0.0,-0.693147180359945,20.0,M,Fukuoka,4.0,3,0.5000000000000001
2,2023-12-15,0,1189.3148724238356,0.0,-0.32490615146517887,46.91237298105798,F,Other,7.0,3,0.7225951648575262
3,2023-09-28,0,-1425.4620104833734,0.0,-0.32092985527950296,55.725998317203114,M,Tokyo,2.0,3,0.7254741372860091
4,2023-04-17,0,711.4453661762136,0.0,-0.6379972580938905,38.78399341846874,F,Other,3.0,2,0.5283495127621621
5,2023-03-13,0,1420.4080633191486,0.0,-0.3311446664814667,66.16875805112872,F,Sapporo,3.0,2,0.7181012762408708
6,2023-07-08,0,1604.7425861537458,0.0,-0.16217066642887482,52.897503422011866,M,Fukuoka,3.0,5,0.8502960750615948
7,2023-01-21,0,1517.8205032099295,0.0,-0.3253636340386469,48.52410065729176,F,Osaka,6.0,3,0.7222646657664374
8,2023-04-13,1,,410.49440536971895,-0.5591062833925566,56.295710668087565,M,Osaka,4.0,1,0.5717197909642014
9,2023-05-02,0,1154.4226380505484,0.0,-0.2873312210149273,45.00054776891317,M,Nagoya,,4,0.7502631846443133
10,2023-08-03,0,1002.7559395944146,0.0,-0.8259394196504408,,M,Nagoya,7.0,2,0.437823499114202
11,2023-11-27,1,1583.1204884565714,43.69652986178068,-0.5649034220801908,32.51291572794452,M,Fukuoka,2.0,3,0.5684150403489333
12,2023-03-29,0,1503.183268574764,0.0,-0.34442582340936606,57.9575204087178,M,Tokyo,7.0,2,0.7086271136807215
13,2023-04-10,0,1182.4872148758107,0.0,-0.31688756399174983,27.88612989852556,M,Osaka,3.0,5,0.7284126502323927
14,2023-12-26,0,1369.6598190673471,0.0,-0.43768734999948883,36.64791242144591,F,Osaka,6.0,3,0.645527575407227
15,2023-06-01,0,1426.2524032754272,0.0,-0.4446839675477582,,F,Tokyo,5.0,4,0.6410268292047472
16,2023-05-11,0,1352.3285820381755,0.0,-0.21987102137069803,66.75883892802653,F,Tokyo,4.0,3,0.8026223123124612
17,2023-05-30,1,1044.0651865838374,170.02175378383902,-0.47156340867894464,65.22238686127022,M,Tokyo,3.0,1,0.6240258976440687
18,2023-11-05,0,1502.2323430103277,0.0,-0.5971225769657559,26.741966572889062,F,Osaka,4.0,3,0.5503930733782287
19,2023-09-15,0,1405.1616828739113,0.0,-0.38167555319346524,42.20947000583626,F,Osaka,6.0,3,0.6827165223714337
20,2023-12-10,0,1326.467527057154,0.0,-0.2647262280527843,,M,Tokyo,6.0,5,0.767416018096777
21,2023-10-21,0,1353.930636862582,0.0,-0.25715949640012936,49.22416958547067,F,Other,3.0,4,0.7732448740557524
22,2023-07-11,0,1465.8105690911038,0.0,-0.2680987629798951,47.64524615863493,M,Fukuoka,3.0,4,0.764832240161438
23,2023-10-04,0,1609.9595178463017,0.0,-0.32272191665623434,52.17558357419898,F,Fukuoka,4.0,3,0.7241752073333061
24,2023-06-10,0,1087.830139781886,0.0,-0.3413379542757011,44.97877671561831,F,Tokyo,7.0,3,0.7108186433096505
25,2023-11-10,0,1519.8110880352513,0.0,-0.19247646546535377,70.0,M,Nagoya,5.0,3,0.8249137318359603
26,2023-01-22,0,1496.6049192393039,0.0,-0.5814604178029383,24.581143524838915,F,Osaka,6.0,3,0.5590812777137388
27,2023-09-10,0,,0.0,-0.5130152522329203,20.0,M,Other,4.0,4,0.5986876601124521
28,2023-08-24,1,1708.3797790583421,733.8860824819957,-0.3955771120657632,34.10364698947808,M,Fukuoka,2.0,4,0.6732913624355514
29,2023-12-11,0,1261.5393022757787,0.0,-0.5130152522329203,20.0,F,Nagoya,4.0,4,0.5986876601124521
30,2023-02-18,0,982.0962553065008,0.0,-1.1031860485840825,20.0,F,Other,6.0,1,0.33181222783183395
31,2023-02-28,0,1176.1677811059558,0.0,-0.4202582856727567,24.980280187030495,F,Tokyo,6.0,4,0.6568771358495672
32,2023-06-19,1,1409.1925285798227,33.60564765045598,-0.5396039436808552,26.16716641852559,F,Tokyo,7.0,3,0.5829790991129701
33,2023-07-07,0,1338.033774219564,0.0,-0.5670495331474836,25.6807284707491,M,Fukuoka,6.0,3,0.5671964666048176
34,2023-09-28,0,1209.8113297893565,0.0,-0.39229209239735296,47.77328425668117,F,Tokyo,2.0,3,0.6755067746481229
35,2023-07-09,1,8444.01168388786,128.6209792814473,-0.3492647980112124,32.407164083719955,M,Tokyo,6.0,4,0.7052063682001264
36,2023-06-24,1,1566.8835051495764,188.96355897738997,-0.4485039093232629,37.3072813769128,M,Fukuoka,5.0,3,0.6385828150081428
37,2023-02-20,0,1732.5124326719797,0.0,-0.4546133400920719,53.413491617514026,F,Tokyo,3.0,2,0.6346933308740658
38,2023-12-30,0,1172.9671620154484,0.0,-0.5312544460841077,28.505162128278606,M,Nagoya,6.0,3,0.5878670593101458
39,2023-02-24,1,1983.8517200475465,172.19088014202774,-0.22421383799436176,36.03181151942917,M,Other,6.0,5,0.7991442285978828
40,2023-09-01,1,1938.8930200897516,207.98011515838817,-0.19876715533400952,45.48639979139374,M,Tokyo,11.0,4,0.8197407432724458
