user_id,cluster_id,date,time_period,post,treatment,y,y0,y_cf_low,y_cf_high,cost,propensity_score,log_propensity,age,income,credit_score,running_variable,risk_score,engagement_score,education,gender,region,z,domain,w_neg,z_neg,neighbor_exposure,revenue,profit,roi,welfare,cate_true,unmeasured_confounder,hidden_confounder_strength,time_varying_conf
862,6,2023-04-13,3,0,1,1382.9290835687564,740.8569367260721,1102.2527804338263,1672.7573124696564,98.04389187736373,0.708746663152612,0.8893046848125996,71.74906215593755,14798.455081422246,587.6489654616552,-7.648697349896997,0.11685113331413408,4.33229128370435,high_school,M,central,1,source,0.8514938326487544,-0.5901144528665736,0.4,1985.0009999723295,1886.9571080949659,1905.1726182482796,1333.9071376300744,725.6106369702936,-0.8829149023658764,1.339773481085304,1.087360832801591
568,39,2023-12-15,11,1,1,1772.640574983534,962.6108947556905,1561.197181997134,2196.9061509861685,268.2498155462799,0.8497997696851297,1.7330314832756455,79.08804662849536,70500.28523724992,670.4455198740986,14.24893676638832,0.5926594299437274,3.0071166045256024,high_school,F,east,1,target,1.9796371606482628,-0.1001988085001794,0.5,2608.630766944771,2340.380951398491,869.2228615459221,1638.515667210394,816.2760749733976,0.18840878432854663,0.11460654608250197,-0.7262977100100301
60,33,2023-09-28,9,1,1,1735.6798183211913,875.2733939638375,1147.8313679529722,2059.3630217424648,89.38065403977414,0.8365294688965413,1.6326290118078426,54.286447170773265,132504.1062327288,509.5475480431354,2.91344461114156,0.22723283096143515,2.4516101556905725,bachelors,F,north,1,source,0.08745777915781174,-0.16275599600337762,0.4,2645.486337086524,2556.10568304675,2828.155770948366,1690.9894913013043,734.2925438707132,0.16289815886718,1.3528810081679143,-0.8964692930953675
650,1,2023-04-17,3,0,1,1098.6798993255893,628.6110523080167,750.0055079252179,1447.478812118533,83.8581898971635,0.5162747193453648,0.06512188181493525,46.34677446628697,13931.70267047754,735.4412261710862,-11.488930680601896,0.21799462114586798,2.991309839379495,high_school,F,central,1,source,0.3227877394450749,-2.4521642453701005,0.6,1703.8780938370523,1620.0199039398888,1909.0908089167715,1056.7508043770076,501.7015269373363,-2.4471654027826046,1.3563545751447426,0.8546903737604485
39,37,2023-03-13,2,0,0,763.0803637016853,731.080635533624,1059.0144929625737,2023.0060457357724,2.8602293009746758,0.4775632259627633,-0.08980740853266185,40.92892409753255,10266.050046191904,545.7554916484273,-1.935850767035002,0.2030613995253508,7.762491440618895,bachelors,F,west,1,source,-1.187095379180652,-0.015693021760707693,0.5,1106.4172185933455,1103.5569892923709,28587.861063427812,761.650249051198,846.4821757820932,-1.3223649366205987,1.5088256014803874,0.9168881582301829
540,6,2023-07-08,6,1,1,920.8246472534572,629.7655861251924,688.6236755197319,1175.167087108468,37.964773560938276,0.5304103901487242,0.12179188499721313,38.040780457733874,26326.44585081183,693.991443262022,-13.857866564051907,0.21853833556921898,1.4463294040905976,bachelors,F,west,1,target,0.9448399047765879,0.5709674647093406,0.8,1419.1953888654034,1381.2306153044651,3544.8187916306347,901.8422604729881,363.41697987446275,-0.7454341046115542,1.7445352530282219,0.20075972817375587
49,45,2023-01-21,0,0,1,1656.0297427254425,755.6134013775078,1120.0149731682382,2124.463961398275,91.99967099094084,0.6679505235276012,0.6989301205844117,63.160518797212745,13668.150418071917,561.6206469110906,0.8589594564948416,0.24920929175800852,7.5001076659965715,masters,F,north,1,source,1.360779831332718,-1.3024806937318616,0.7,2527.0132289501935,2435.0135579592525,2618.3034111985717,1610.029907229972,950.0684372777341,0.6964617853899274,1.0475714403695346,0.17873031263403805
420,34,2023-04-13,3,0,0,616.8650794843487,604.6663068981545,675.1225664197939,1250.4790130323427,37.36757866034762,0.3056091200950948,-0.8207281295362285,44.74090142927741,13082.436095711391,822.5879048224203,-3.7880447408405256,0.14761506043686384,2.4993471164255894,high_school,M,central,0,source,0.6883697043431212,-1.0694855602054294,0.9,924.7696531846574,887.4020745243098,2312.895693471082,598.1812901541749,448.5786546955433,-0.42397600409460745,1.7833917192918638,0.980447793592424
637,47,2023-05-02,4,0,0,916.5656297307028,896.55448820234,1540.2648857138324,2651.59201680509,1.5224955083689817,0.33320369167155894,-0.693730624933459,70.10909695867153,11829.896446657847,489.0092163730534,-8.647049285599683,0.18228154566628174,9.009440786545122,high_school,F,east,0,source,-1.3861795875056044,0.06505833095290349,0.5,1449.7317638893721,1448.209268381003,57411.76797247895,915.8043819765182,1093.1886951769113,0.8276657876857794,1.9078918785064027,0.8923792089049474
13,15,2023-08-03,7,1,0,738.8041507769116,664.251928462252,683.8985471853259,1288.771542703267,14.50891308825457,0.4110507905956057,-0.35962316323956117,45.522936229937486,31104.82040786795,671.7055024635641,-17.801367478958465,0.15109318047211573,1.1341213446988587,bachelors,M,east,0,source,-0.4045009616750885,0.41111435660305373,0.5,1190.3556237900607,1175.8467107018062,7581.74801812717,731.5496942327843,375.6633475885436,0.5757202481401367,0.6632344448878087,-0.34207328377956886
