user_id	date	treatment	y	cost	log_propensity	propensity_score	age	income	education	gender_raw	region	z	domain	w_neg	z_neg	cluster_id	neighbor_exposure
1	2024-10-24	1	718.2220980718935	256.61087726426535	0.9014085824202083	0.7112388807828157	39.48270532911499	55386.91482967422	bachelors	Male	central	1	source	-0.3677686736859824	-0.4800186872359018	6	0.3
2	2024-12-12	1	727.9838327211615	43.67981573117349	-0.04543247436434323	0.48864383475485285	40.997821627465505	13203.520003592257	masters	M	west	1	source	-0.28597711927931274	0.6065185419358472	2	0.5
3	2024-06-27	1	867.3826497254639	102.63326223948397	0.07338517801762279	0.5183380655005944	46.68366779582252	36064.5500682233	masters	Female	west	1	source	0.311250795007002	-0.7666976733636656	47	0.6
4	2024-02-09	1	624.6822418788909	56.74231694380011	0.15729141427490945	0.5392419811534597	50.22668194974954	12033.807804277503	bachelors	F	central	1	target	-0.021857802180670387	-0.021400980797189967	5	0.6
5	2024-04-05	0	613.9789102935739	17.09996530471337	-0.2689086325436843	0.433175043790704	38.67823558757105	80041.04167432785	bachelors	Female	west	0	source	0.2583064696633563	-0.3216879447004313	48	0.2
6	2024-09-30	0		17.961089269142548				84945.1340069297	masters	Male	west	1	source	0.5410878073240928	2.4853716690804597	46	0.8
7	2024-08-24	0	432.8083124722426	43.09075218729413	-0.9942111766519341	0.2700810943419409	34.11572014275919	9570.540223635046	masters	F	east	0	source	-0.654599682064686	1.3155995814663874	18	0.3
8	2024-07-04	1	660.9632178476919	122.87784141646301	-0.23653356899660025	0.44114077421003617	24.48214610329295	28164.466360319962	bachelors	M	east	1	source	0.04505876868167756	0.34895820161535407	13	0.5
9	2024-09-02	1	602.2638220148615	78.78021032470465	-0.7909532124400198	0.3119640329077693	51.02429526597673	34629.887443346364	high_school	female	south	0	target	0.7850824395038576	-0.7493456274826811	44	0.2
10	2024-03-18	1	820.473886502338	148.6144121983087	-0.33918929241257834	0.4160064211032829	57.071121584886946	29621.26535920699	bachelors	Female	central	0	source	-1.2562608213308146	0.2637970356546635	14	0.3
11	2024-09-22	0	397.17229298787515	1.3087729457949173	-0.7483829233087843	0.32117375581777396	24.00478416235309	10051.71586658501	high_school	F	east	1	source	0.6551425296084764	0.6042676629964558	21	0.3
12	2024-05-08	0	496.371900373295	16.92836658433581	-0.8538496841371397	0.29862592250048026	28.116800047974774	65636.00178065946	high_school	M	west	0	source	0.32542779938431055	-0.1561075353388884	18	0.6
13	2024-11-12	1	709.0192387669267	156.37492071306548	-1.2290025655876429	0.22635604778132895	38.59050735589767	50586.400121552724	masters	female	north	0	source	-0.9175560356163683	-0.14242728355037815	14	0.4
14	2024-05-22	1	692.7536884361785	100.6953646439496	-0.5237488977043505	0.37197603473556545	40.659872400893214	48960.02702507102	bachelors	male	central	0	target	-0.6154678302793868	0.34835635641381724	45	0.4
15	2024-10-05	0	397.82424741627557	9.353069370124356	-0.8837155269323489	0.2924084225687297	43.67008487042588	12993.937932617251	bachelors	Female	south	0	target	1.4411190541450156	-1.6003393642704364	37	0.6
16	2024-02-23	1	992.8312193680248	36.75984702603065	-1.0686584530631396	0.2556582930355583	61.968106054624116	5934.252699465395	bachelors	Female	west	0	source	-1.6727756193658305	0.8028740794684318	49	0.3
17	2024-12-11	1	711.1994020223838	45.94212819928778	-1.593821105565415	0.16884697313402525	29.304967720562907	27135.294776894825	masters	male	north	0	source	0.9630415718055229	1.4633299058581726	37	0.7
18	2024-11-19	1	965.4369518272864	181.3836591121886	0.3922877206268876	0.5968333000037611	64.7094000521154	27644.262315411655	bachelors	Female	north	1	source	0.24261252534386138	-0.6801102155248611	43	0.1
